form,function,month,revenue
Tablets,Beauty,apr,3.206764565
Capsules,Beauty,apr,12.587050714285715
Powder,Beauty,apr,12.057361965714286
Other,Beauty,apr,1.226601
Gummy,Immune,apr,16.617816
Softgels,Immune,apr,6.79752712
Tablets,Immune,apr,6.85832581
Capsules,Immune,apr,30.582150054285712
Powder,Immune,apr,10.424131
Other,Immune,apr,1.578105
Gummy,Digest,apr,8.520441
Softgels,Digest,apr,1.120185
Tablets,Digest,apr,3.87029081
Capsules,Digest,apr,39.55386965583333
Powder,Digest,apr,12.72963417939394
Other,Digest,apr,1.203859
Gummy,Joints,apr,5.537741
Softgels,Joints,apr,7.04632276
Tablets,Joints,apr,9.230615
Capsules,Joints,apr,27.2707255
Powder,Joints,apr,13.391428
Other,Joints,apr,0.613932
Gummy,Brain,apr,3.200257
Softgels,Brain,apr,8.24533896
Tablets,Brain,apr,2.441352
Capsules,Brain,apr,25.99145
Powder,Brain,apr,7.83346432
Other,Brain,apr,1.241692
Gummy,Stress_Sleep,apr,6.852957089999999
Softgels,Stress_Sleep,apr,0.81668096
Tablets,Stress_Sleep,apr,6.283522
Capsules,Stress_Sleep,apr,19.329341599242422
Powder,Stress_Sleep,apr,3.970596
Other,Stress_Sleep,apr,0.786192
Gummy,Energy,apr,7.228973
Softgels,Energy,apr,3.6693636749999996
Tablets,Energy,apr,6.074249290568182
Capsules,Energy,apr,29.548932130194807
Powder,Energy,apr,20.91233378
Other,Energy,apr,2.1106653939999998
Gummy,Body,apr,7.531594771111111
Softgels,Body,apr,20.618469434999998
Tablets,Body,apr,10.23517358306818
Capsules,Body,apr,62.13204606752273
Powder,Body,apr,18.990883665
Other,Body,apr,1.176427134
Gummy,Weight_Mngm,apr,4.537231771111111
Softgels,Weight_Mngm,apr,2.083133
Tablets,Weight_Mngm,apr,3.544347
Capsules,Weight_Mngm,apr,25.94105514232143
Powder,Weight_Mngm,apr,11.388789875
Other,Weight_Mngm,apr,1.002534048
Gummy,Fitness,apr,1.408405
Softgels,Fitness,apr,1.901181
Tablets,Fitness,apr,3.889317
Capsules,Fitness,apr,15.720267895324676
Powder,Fitness,apr,29.221780969999998
Other,Fitness,apr,2.627896
